title,price,Make,Model,Year_of_manufacture,Condition,Transmission,Exchange,fuel_type,body_type,address_of_sale,Mileage
Foreign used 2012 Range Rover Evogue ,"11,800,000",Land rover,Range Rover,2012,,Automatic,,Petrol,,Lekki,33000
Toyota Camry 2008 model,"1,700,000",Toyota,Camry,2008,,Automatic,,Petrol,,Lagos,33000
Toyota Matrix,"2,700,000",Toyota,Matrix,2009,,Automatic,,Petrol,,Harcourt,44706
Toyota,"5,600,000",Toyota,RAV4,2014,,Automatic,,Petrol,,Harcourt,33049
Nigeria used Toyota big camry,"950,000",Toyota,4runner,2004,,Automatic,,Petrol,,Abuja,5000
Foreign used 2018 Lexus RX350,"15,500,000",Lexus,RX,2018,,Automatic,,Petrol,,Lekki,10000
2016 Mercedes Benz C300,"8,350,000",Mercedes,C -class,2016,,Automatic,,Petrol,,Lekki,20000
Foreign used 2018 Toyota Hilux SR5 GLXS,"16,500,000",Toyota,Hilux,2018,,Automatic,,Petrol,,Lekki,20000
Foreign used 2016 Mercedes Benz CLA250 AMG,"10,000,000",Mercedes,CL -class,2016,,Automatic,,Petrol,,Lekki,40000
Foreign used 2019 Range Rover Velar P250 SE,"52,000,000",Land rover,Range Rover,2018,,Automatic,,Petrol,,Lekki,18000
2015 Honda Cr-V,"8,600,000",Honda,CR-V,2015,,Automatic,,Petrol,,Lekki,41000
Foreign used 2016 Mercedes Benz E350,"15,500,000",Mercedes,E -class,2016,,Automatic,,Petrol,,Lekki,27000
Foreign used 2008 Mercedes Benz S550,"6,000,000",Mercedes,S -class,2008,,Automatic,,Petrol,,Lekki,90000
Seat Alhambra 2000,"1,400,000",Seat,Alhambra,1999,,Manual,,Petrol,,Ibadan,176680
2013 Jaguar Xjl ,"25,000,000",Jaguar,XJ,2013,,Automatic,,Petrol,,Lekki,13000
2015 Mercedes Benz Glk350,"6,600,000",Mercedes,GLK -class,2015,,Automatic,,Petrol,,Lekki,65000
Foreign used 2015 Mercedes Benz ML350 on GLE Body kit,"12,000,000",Mercedes,ML -class AMG,2015,,Automatic,,Petrol,,Lekki,60000
Nigerian used 2013 Porsche Panamera,"14,200,000",Porsche,Panamera,2013,,Automatic,,Petrol,,Lekki,11000
Foreign used 2015 Facelifed to 2019 Mercedes Benz G63 AMG,"53,000,000",Mercedes,G -class AMG,2015,,Automatic,,Petrol,,Lekki,31000
Mercedes-Benz Ml350 4Matic 2010 ,"4,800,000",Mercedes,M -class,2010,,Automatic,,Petrol,,Surulere,74099
Foreign used 2015 Toyota Prado TX,"17,500,000",Toyota,Prado,2015,,Automatic,,Petrol,,Lekki,69000
